rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
291,b,835.477,2.14,0.462,,11.09,Msini,,,HD 110014 b,HIP 61740
292,b,1143,1.97,0.2,,6.8,Msini,,,HD 111232 b,HIP 62534
293,b,825.9,1.82,0.03,,4.51,Msini,,,HD 111998 b,HIP 62875
294,b,324,0.92,0.46,,2.83,Msini,,,HD 113337 b,HIP 63584
295,b,663.2,1.24,0.14,,0.36,Msini,,,HD 113538 b,HIP 63833
296,c,1818,2.44,0.2,,0.93,Msini,,,HD 113538 c,HIP 63833
297,b,937.7,1.65,0.23,,1.24,Msini,,,HD 114386 b,HIP 64295
298,b,3827,5.16,0.25,,0.48,Msini,,,HD 114613 b,HIP 64408
299,b,1114,2.11,0.167,,0.95,Msini,,,HD 114729 b,HIP 64459
300,b,83.9151,0.353,0.3354,,10.98,Msini,1.11,,HD 114762 b,HIP 64426
301,b,493.7,1.16,0.144,,1.1,Msini,,,HD 114783 b,HIP 64457
302,b,1627.5,2.708,0.37,,4.21,Msini,,,HD 11506 b,HIP 8770
303,c,223.6,0.721,0.24,,0.36,Msini,,,HD 11506 c,HIP 8770
304,b,670,1.78,0.054,,2.1,Msini,,,HD 116029 b,HIP 65117
305,b,2597,3.79,0.144,,1.88,Msini,,,HD 117207 b,HIP 65808
306,b,433.7,1.08,0.19,,6.5,Msini,,,HD 11755 b,HIP 9242
307,b,25.827,0.176,0.42,,0.178,Msini,,,HD 117618 b,HIP 66047
308,b,6.1335,0.07,0.309,,2.13,Msini,,,HD 118203 b,HIP 66192
309,b,1945,3.16,0.041,,0.622,Msini,,,HD 11964 b,HIP 9094
310,c,37.91,0.229,0.3,,0.0788,Msini,,,HD 11964 c,HIP 9094
311,b,711,1.93,0.4,,6.54,Msini,,,HD 11977 b,HIP 8928
312,b,2082,4.3,0.66,,4.5,Msini,,,HD 120084 b,HIP 66903
313,b,63.33,0.33,0.03,,1.22,Msini,,,HD 121504 b,HIP 68162
314,b,58.83,0.297,0.07,,2.98,Msini,,,HD 12484 b,HIP 9519
315,b,9.6737,0.0809,0,,0.041,Msini,,,HD 125595 b,HIP 70170
316,b,559.4,1.37,0.46,,3,Msini,,,HD 125612 b,HIP 70123
317,c,4.1547,0.05,0.27,,0.058,Msini,,,HD 125612 c,HIP 70123
318,d,3008,4.2,0.28,,7.2,Msini,,,HD 125612 d,HIP 70123
319,b,133.6,0.54,0.04,,2.9,Msini,,,HD 12648 b,HIP 10800
320,b,262.709,0.8079,0.3768,,2.176,Msini,,,HD 12661 b,HIP 9683
321,c,1708,2.8145,0.031,,1.812,Msini,,,HD 12661 c,HIP 9683
